Name,Coords
Lankin ND,"-97.9203,48.3146"
Venturia ND,"-99.5479,45.9971"
Sutton ND,"-98.4412,47.4038"
New Rockford ND,"-99.1377,47.6798"
Wing ND,"-100.2824,47.1423"
Pekin ND,"-98.3278,47.7919"
Minot AFB ND,"-101.3381,48.4209"
Surrey ND,"-101.1339,48.2435"
Pick City ND,"-101.4572,47.5114"
Dickey ND,"-98.4681,46.5368"
Lehr ND,"-99.3528,46.2824"
Williston ND,"-103.6364,48.1814"
Milnor ND,"-97.4574,46.2609"
Watford City ND,"-103.2678,47.8028"
Larson ND,"-102.8626,48.8916"
Fullerton ND,"-98.4272,46.1632"
Streeter ND,"-99.3568,46.6576"
Thompson ND,"-97.1058,47.7753"
Kramer ND,"-100.7078,48.6911"
Hope ND,"-97.7191,47.3244"
Dodge ND,"-102.2029,47.3057"
Amidon ND,"-103.3194,46.4823"
Pingree ND,"-98.9086,47.1638"
McHenry ND,"-98.5910,47.5764"
Dahlen ND,"-97.9319,48.1587"
Luverne ND,"-97.9349,47.2514"
New Town ND,"-102.4813,47.9848"
Ruso ND,"-100.9343,47.8373"
Gwinner ND,"-97.6695,46.2357"
Wheatland ND,"-97.3455,46.9049"
Towner ND,"-100.4070,48.3471"
Bisbee ND,"-99.3788,48.6272"
Lisbon ND,"-97.6841,46.4385"
Stanley ND,"-102.3873,48.3164"
Valley City ND,"-98.0055,46.9223"
Sibley ND,"-97.9654,47.2188"
Parshall ND,"-102.1342,47.9557"
Harvey ND,"-99.9301,47.7766"
Brocket ND,"-98.3556,48.2107"
Blanchard ND,"-97.2228,47.3432"
Pembina ND,"-97.2475,48.9669"
Antler ND,"-101.2832,48.9713"
Coleharbor ND,"-101.2214,47.5425"
Starkweather ND,"-98.8784,48.4521"
Esmond ND,"-99.7647,48.0331"
Pettibone ND,"-99.5209,47.1170"
Hamberg ND,"-99.5160,47.7634"
Underwood ND,"-101.1419,47.4551"
Alexander ND,"-103.6426,47.8393"
Butte ND,"-100.6658,47.8370"
Caledonia ND,"-96.8892,47.4577"
Bucyrus ND,"-102.7885,46.0648"
Noonan ND,"-103.0101,48.8899"
Brinsmade ND,"-99.3236,48.1840"
Lawton ND,"-98.3684,48.3036"
Ruthville ND,"-101.3003,48.3708"
Monango ND,"-98.5952,46.1734"
Regent ND,"-102.5581,46.4222"
Goodrich ND,"-100.1247,47.4759"
Steele ND,"-99.9181,46.8568"
Haynes ND,"-102.4710,45.9739"
Carpio ND,"-101.7163,48.4434"
Newburg ND,"-100.9127,48.7139"
Lakota ND,"-98.3468,48.0429"
Warwick ND,"-98.7056,47.8547"
Harwood ND,"-96.8801,46.9761"
Reeder ND,"-102.9422,46.1059"
Tolley ND,"-101.8271,48.7308"
Kenmare ND,"-102.0720,48.6728"
Rugby ND,"-99.9906,48.3656"
Wales ND,"-98.6008,48.8952"
Napoleon ND,"-99.7683,46.5039"
Oberon ND,"-99.2059,47.9242"
Argusville ND,"-96.9431,47.0501"
Four Bears Village ND,"-102.5939,47.9871"
Davenport ND,"-97.0654,46.7148"
Wyndmere ND,"-97.1312,46.2641"
Elgin ND,"-101.8430,46.4026"
Sheyenne ND,"-99.1169,47.8273"
Maxbass ND,"-101.1426,48.7225"
Mayville ND,"-97.3264,47.4982"
Mott ND,"-102.3189,46.3744"
Michigan City ND,"-98.1197,48.0248"
Dawson ND,"-99.7536,46.8679"
Sentinel Butte ND,"-103.8400,46.9195"
Fingal ND,"-97.7932,46.7625"
Killdeer ND,"-102.7535,47.3673"
Tappen ND,"-99.6273,46.8716"
Elliott ND,"-97.8149,46.4023"
Grano ND,"-101.5893,48.6153"
Wimbledon ND,"-98.4587,47.1691"
Grafton ND,"-97.4055,48.4142"
Driscoll ND,"-100.1439,46.8427"
Portal ND,"-102.5479,48.9947"
Deering ND,"-101.0501,48.3956"
Ashley ND,"-99.3736,46.0347"
Center ND,"-101.2977,47.1149"
Edinburg ND,"-97.8630,48.4955"
Orrin ND,"-100.1671,48.0910"
Riverdale ND,"-101.3661,47.4975"
West Fargo ND,"-96.9057,46.8573"
Great Bend ND,"-96.8010,46.1546"
Gascoyne ND,"-103.0788,46.1190"
Buchanan ND,"-98.8290,47.0626"
Fordville ND,"-97.7954,48.2166"
Strasburg ND,"-100.1612,46.1337"
Edgeley ND,"-98.7126,46.3625"
Rocklake ND,"-99.2456,48.7902"
Sheldon ND,"-97.4944,46.5885"
Glenburn ND,"-101.2210,48.5136"
Erie ND,"-97.3879,47.1154"
Forbes ND,"-98.7820,45.9425"
Perth ND,"-99.4582,48.7148"
Buxton ND,"-97.0999,47.6024"
Ardoch ND,"-97.3380,48.2054"
Mandan ND,"-100.8870,46.8290"
Ross ND,"-102.5435,48.3128"
Tioga ND,"-102.9402,48.3951"
Cayuga ND,"-97.3845,46.0761"
Braddock ND,"-100.0896,46.5640"
Munich ND,"-98.8385,48.6729"
Knox ND,"-99.6912,48.3439"
Forman ND,"-97.6369,46.1040"
Fortuna ND,"-103.7783,48.9099"
Palermo ND,"-102.2298,48.3380"
Ambrose ND,"-103.4813,48.9559"
Fort Yates ND,"-100.6302,46.0865"
Adams ND,"-98.0737,48.4202"
Christine ND,"-96.8067,46.5752"
Alice ND,"-97.5562,46.7600"
Alamo ND,"-103.4676,48.5825"
Arthur ND,"-97.2184,47.1043"
Cannon Ball ND,"-100.6358,46.3173"
Martin ND,"-100.1151,47.8268"
Cando ND,"-99.2026,48.4872"
Woodworth ND,"-99.3045,47.1421"
Page ND,"-97.5681,47.1592"
Anamoose ND,"-100.2420,47.8828"
Spiritwood ND,"-98.4933,46.9343"
Walhalla ND,"-97.9176,48.9211"
Cleveland ND,"-99.1195,46.8909"
Prairie Rose ND,"-96.8353,46.8171"
Colfax ND,"-96.8725,46.4710"
McLeod ND,"-97.2987,46.3887"
Overly ND,"-100.1510,48.6811"
Leal ND,"-98.3155,47.1050"
Aneta ND,"-97.9897,47.6795"
Mantador ND,"-96.9782,46.1656"
Medora ND,"-103.5251,46.9128"
Abercrombie ND,"-96.7294,46.4471"
Columbus ND,"-102.7812,48.9050"
Flaxton ND,"-102.3933,48.8974"
Spiritwood Lake ND,"-98.5866,47.0743"
New England ND,"-102.8669,46.5408"
Plaza ND,"-101.9594,48.0260"
Green Acres ND,"-99.6901,48.8381"
Belfield ND,"-103.1989,46.8859"
Dwight ND,"-96.7400,46.3039"
Conway ND,"-97.6751,48.2343"
Nekoma ND,"-98.3755,48.5763"
Montpelier ND,"-98.5884,46.6989"
Landa ND,"-100.9120,48.8958"
Donnybrook ND,"-101.8873,48.5077"
Bergen ND,"-100.7199,48.0037"
Bottineau ND,"-100.4446,48.8251"
Embden ND,"-97.4395,46.8050"
Ypsilanti ND,"-98.5610,46.7834"
Grace City ND,"-98.8039,47.5513"
LaMoure ND,"-98.2966,46.3574"
New Salem ND,"-101.4178,46.8432"
Tower City ND,"-97.6760,46.9263"
Balta ND,"-100.0369,48.1666"
Arnegard ND,"-103.4388,47.8084"
Jud ND,"-98.8976,46.5258"
Walcott ND,"-96.9375,46.5505"
Denhoff ND,"-100.2592,47.4786"
Rogers ND,"-98.2031,47.0740"
Marmarth ND,"-103.9331,46.2960"
Heil ND,"-101.7011,46.3892"
Crystal ND,"-97.6685,48.5981"
Oriska ND,"-97.7906,46.9313"
Taylor ND,"-102.4222,46.9018"
Gackle ND,"-99.1412,46.6264"
Kathryn ND,"-97.9704,46.6812"
Grand Forks AFB ND,"-97.3913,47.9557"
Menoken ND,"-100.5338,46.8149"
Crary ND,"-98.6384,48.0716"
Sawyer ND,"-101.0533,48.0894"
Selfridge ND,"-100.9244,46.0417"
Wildrose ND,"-103.1837,48.6299"
Kulm ND,"-98.9467,46.3020"
Voltaire ND,"-100.8440,48.0187"
Hoople ND,"-97.6390,48.5358"
Balfour ND,"-100.5343,47.9509"
Park River ND,"-97.7441,48.3936"
Finley ND,"-97.8373,47.5125"
Karlsruhe ND,"-100.6159,48.0910"
Mooreton ND,"-96.8757,46.2689"
Forest River ND,"-97.4703,48.2166"
Hurdsfield ND,"-99.9310,47.4468"
Medina ND,"-99.2999,46.8938"
Rhame ND,"-103.6550,46.2347"
Beulah ND,"-101.7733,47.2665"
Minnewaukan ND,"-99.2607,48.0761"
Litchville ND,"-98.1917,46.6566"
Havana ND,"-97.6183,45.9516"
Scranton ND,"-103.1430,46.1495"
Ryder ND,"-101.6694,47.9211"
Gardena ND,"-100.4981,48.7012"
Buffalo ND,"-97.5507,46.9193"
South Heart ND,"-102.9895,46.8679"
Ansley NE,"-99.3824,41.2863"
Albion NE,"-97.9987,41.6873"
Hampton NE,"-97.8875,40.8812"
La Platte NE,"-95.9255,41.0718"
Nebraska City NE,"-95.8613,40.6762"
Rising City NE,"-97.2974,41.1983"
Bennet NE,"-96.5039,40.6818"
Dalton NE,"-102.9708,41.4082"
Halsey NE,"-100.2699,41.9033"
Abie NE,"-96.9493,41.3340"
Bassett NE,"-99.5366,42.5828"
Santee NE,"-97.8495,42.8386"
Sprague NE,"-96.7445,40.6266"
Chadron NE,"-103.0025,42.8260"
Nora NE,"-97.9738,40.1642"
Foster NE,"-97.6651,42.2747"
Petersburg NE,"-98.0811,41.8536"
Henderson NE,"-97.8114,40.7795"
Deweese NE,"-98.1392,40.3548"
Stanton NE,"-97.2172,41.9471"
Aurora NE,"-98.0070,40.8642"
Malmo NE,"-96.7209,41.2665"
Lynch NE,"-98.4668,42.8313"
Cook NE,"-96.1617,40.5104"
Rosalie NE,"-96.5128,42.0574"
Strang NE,"-97.5871,40.4149"
Gurley NE,"-102.9743,41.3215"
Mason City NE,"-99.2987,41.2222"
Burwell NE,"-99.1341,41.7800"
Norfolk NE,"-97.4209,42.0328"
Alma NE,"-99.3655,40.1036"
Bridgeport NE,"-103.0962,41.6639"
Morrill NE,"-103.9247,41.9641"
Wakefield NE,"-96.8632,42.2665"
Smithfield NE,"-99.7409,40.5733"
Magnet NE,"-97.4698,42.4555"
Dix NE,"-103.4867,41.2342"
Roscoe NE,"-101.5853,41.1316"
Wilber NE,"-96.9646,40.4809"
Greeley Center NE,"-98.5305,41.5484"
Daykin NE,"-97.2983,40.3217"
Mullen NE,"-101.0444,42.0432"
Miller NE,"-99.3901,40.9276"
Farnam NE,"-100.2155,40.7065"
Crete NE,"-96.9575,40.6255"
Red Cloud NE,"-98.5222,40.0864"
Stamford NE,"-99.5945,40.1313"
Maskell NE,"-96.9807,42.6901"
Edison NE,"-99.7763,40.2776"
Filley NE,"-96.5340,40.2849"
Beaver Crossing NE,"-97.2825,40.7782"
Inglewood NE,"-96.5021,41.4160"
Panama NE,"-96.5112,40.5998"
Otoe NE,"-96.1207,40.7243"
Liberty NE,"-96.4829,40.0854"
Archer NE,"-98.1389,41.1667"
Cordova NE,"-97.3516,40.7164"
Stockham NE,"-97.9433,40.7164"
Oshkosh NE,"-102.3453,41.4081"
Ogallala NE,"-101.7209,41.1292"
Palmer NE,"-98.2599,41.2224"
Steele City NE,"-97.0229,40.0368"
Holmesville NE,"-96.6584,40.2010"
Kennard NE,"-96.2037,41.4747"
Gandy NE,"-100.4583,41.4697"
Venice NE,"-96.3526,41.2390"
Weeping Water NE,"-96.1400,40.8691"
Walthill NE,"-96.4929,42.1489"
Taylor NE,"-99.3814,41.7696"
Arcadia NE,"-99.1259,41.4248"
Silver Creek NE,"-97.6650,41.3152"
Litchfield NE,"-99.1532,41.1562"
Mitchell NE,"-103.8097,41.9427"
Ohiowa NE,"-97.4523,40.4137"
Stella NE,"-95.7735,40.2322"
Franklin NE,"-98.9514,40.0966"
Ashland NE,"-96.3707,41.0404"
Ruskin NE,"-97.8670,40.1440"
Seward NE,"-97.0962,40.9094"
Exeter NE,"-97.4492,40.6445"
Stromsburg NE,"-97.5911,41.1160"
Alexandria NE,"-97.3877,40.2475"
Winnetoon NE,"-97.9601,42.5135"
Hardy NE,"-97.9238,40.0114"
Cedar Rapids NE,"-98.1493,41.5589"
Amherst NE,"-99.2697,40.8383"
Thedford NE,"-100.5748,41.9789"
David City NE,"-97.1269,41.2549"
Hartington NE,"-97.2672,42.6205"
Max NE,"-101.4045,40.1143"
Fairfield NE,"-98.1033,40.4323"
Hubbell NE,"-97.4966,40.0087"
Peru NE,"-95.7313,40.4787"
Firth NE,"-96.6051,40.5348"
Brunswick NE,"-97.9718,42.3377"
Ayr NE,"-98.4409,40.4377"
Merriman NE,"-101.6997,42.9230"
Milford NE,"-97.0537,40.7724"
Scotia NE,"-98.7025,41.4679"
Lewiston NE,"-96.4074,40.2428"
Odell NE,"-96.8016,40.0503"
Naper NE,"-99.0970,42.9642"
McCook NE,"-100.6213,40.2046"
Avoca NE,"-96.1192,40.7965"
Farwell NE,"-98.6280,41.2156"
Uehling NE,"-96.5056,41.7346"
Dannebrog NE,"-98.5457,41.1186"
Barneston NE,"-96.5735,40.0488"
Big Springs NE,"-102.0745,41.0610"
Emerson NE,"-96.7264,42.2782"
Shelton NE,"-98.7306,40.7789"
Henry NE,"-104.0461,41.9979"
St. Paul NE,"-98.4600,41.2140"
Neligh NE,"-98.0300,42.1291"
Spalding NE,"-98.3626,41.6893"
Waverly NE,"-96.5340,40.9110"
Harbine NE,"-96.9733,40.1918"
Carroll NE,"-97.1909,42.2758"
Haigler NE,"-101.9384,40.0122"
Wellfleet NE,"-100.7319,40.7539"
Dunning NE,"-100.1046,41.8272"
Giltner NE,"-98.1538,40.7749"
Hickman NE,"-96.6313,40.6245"
Cushing NE,"-98.3693,41.2949"
Richland NE,"-97.2152,41.4367"
Sidney NE,"-102.9681,41.1340"
Bushnell NE,"-103.8910,41.2328"
Syracuse NE,"-96.1827,40.6635"
North Platte NE,"-100.7640,41.1266"
Inman NE,"-98.5298,42.3819"
Ralston NE,"-96.0354,41.2005"
Louisville NE,"-96.1612,40.9975"
Enders NE,"-101.5355,40.4550"
Ragan NE,"-99.2896,40.3108"
Verdon NE,"-95.7112,40.1491"
Winslow NE,"-96.5047,41.6101"
Clarks NE,"-97.8395,41.2162"
Rulo NE,"-95.4306,40.0516"
Springfield NE,"-96.1332,41.0854"
Sunol NE,"-102.7630,41.1539"
Winnebago NE,"-96.4720,42.2360"
Oconto NE,"-99.7619,41.1417"
Hazard NE,"-99.0772,41.0914"
Chalco NE,"-96.1353,41.1817"
Hemingford NE,"-103.0753,42.3213"
Fordyce NE,"-97.3628,42.6983"
Clarkson NE,"-97.1215,41.7234"
Orchard NE,"-98.2411,42.3368"
Grant NE,"-101.7256,40.8444"
Chapman NE,"-98.1594,41.0232"
Monowi NE,"-98.3296,42.8307"
Octavia NE,"-97.0591,41.3475"
Wood Lake NE,"-100.2376,42.6386"
Crawford NE,"-103.4160,42.6845"
Cotesfield NE,"-98.6335,41.3575"
Sumner NE,"-99.5081,40.9490"
Goehner NE,"-97.2196,40.8327"
Anoka NE,"-98.8285,42.9460"
Davey NE,"-96.6692,40.9838"
Lindsay NE,"-97.6938,41.7004"
Bruning NE,"-97.5648,40.3358"
Leigh NE,"-97.2398,41.7023"
Thurston NE,"-96.7000,42.1769"
Crookston NE,"-100.7534,42.9264"
Raeville NE,"-98.0537,41.8954"
Murray NE,"-95.9267,40.9163"
Auburn NE,"-95.8436,40.3894"
Alliance NE,"-102.8766,42.1025"
Superior NE,"-98.0663,40.0230"
Wallace NE,"-101.1645,40.8375"
Willow Island NE,"-100.0707,40.8900"
Berwyn NE,"-99.5006,41.3508"
Scribner NE,"-96.6653,41.6651"
Minden NE,"-98.9671,40.4981"
Diller NE,"-96.9374,40.1089"
Curtis NE,"-100.5112,40.6335"
St. Libory NE,"-98.3590,41.0822"
Washington NE,"-96.2074,41.3976"
Meadow Grove NE,"-97.7360,42.0290"
King Lake NE,"-96.3017,41.3135"
Richfield NE,"-96.0763,41.1108"
Terrytown NE,"-103.6708,41.8465"
Guide Rock NE,"-98.3288,40.0738"
Callaway NE,"-99.9203,41.2915"
Oxford NE,"-99.6322,40.2530"
Hildreth NE,"-99.0458,40.3378"
Wilsonville NE,"-100.1067,40.1119"
Central City NE,"-98.0002,41.1132"
Poole NE,"-98.9655,40.9871"
Newport NE,"-99.3283,42.6003"
Mead NE,"-96.4824,41.2136"
Ceresco NE,"-96.6459,41.0580"
Roca NE,"-96.6615,40.6584"
Belgrade NE,"-98.0677,41.4709"
Concord NE,"-96.9891,42.3838"
Cairo NE,"-98.6007,41.0046"
Fairmont NE,"-97.5878,40.6331"
Elwood NE,"-99.8616,40.5897"
Newman Grove NE,"-97.7767,41.7469"
Manley NE,"-96.1665,40.9198"
Elmwood NE,"-96.2948,40.8426"
West Point NE,"-96.7062,41.8378"
Jackson NE,"-96.5790,42.4507"
Gibbon NE,"-98.8458,40.7461"
Cozad NE,"-99.9863,40.8612"
Douglas NE,"-96.3882,40.5932"
Obert NE,"-97.0272,42.6895"
Waterloo NE,"-96.2850,41.2856"
Surprise NE,"-97.3086,41.1047"
Elyria NE,"-99.0053,41.6802"
Eagle NE,"-96.4329,40.8161"
Lawrence NE,"-98.2596,40.2902"
Hyannis NE,"-101.7622,42.0005"
Scottsbluff NE,"-103.6619,41.8684"
Wymore NE,"-96.6643,40.1221"
Ord NE,"-98.9169,41.5995"
Anselmo NE,"-99.8645,41.6186"
Doniphan NE,"-98.3708,40.7742"
Creston NE,"-97.3625,41.7081"
Loretto NE,"-98.0817,41.7635"
Gordon NE,"-102.2040,42.8064"
Nickerson NE,"-96.4709,41.5349"
Tamora NE,"-97.2252,40.8945"
Humphrey NE,"-97.4852,41.6884"
Leshara NE,"-96.4292,41.3298"
Belmar NE,"-101.9346,41.3055"
Lyons NE,"-96.4717,41.9360"
Humboldt NE,"-95.9443,40.1659"
Holbrook NE,"-100.0099,40.3047"
Potter NE,"-103.1900,41.2244"
Ong NE,"-97.8392,40.3983"
Valentine NE,"-100.5498,42.8739"
Hebron NE,"-97.5872,40.1681"
Bradshaw NE,"-97.7470,40.8835"
Sutherland NE,"-101.1228,41.1602"
Woodland Hills NE,"-96.4210,40.7511"
Brock NE,"-95.9601,40.4804"
Elba NE,"-98.5693,41.2853"
Clatonia NE,"-96.8516,40.4653"
Benedict NE,"-97.6073,41.0063"
Arlington NE,"-96.3565,41.4548"
Lewellen NE,"-102.1437,41.3306"
Bennington NE,"-96.1617,41.3682"
Sargent NE,"-99.3688,41.6400"
Milligan NE,"-97.3885,40.5004"
Nelson NE,"-98.0687,40.2012"
Friend NE,"-97.2837,40.6505"
Geneva NE,"-97.5974,40.5308"
Western NE,"-97.1984,40.3931"
Loup City NE,"-98.9678,41.2766"
McCool Junction NE,"-97.6007,40.7440"
Greenwood NE,"-96.4433,40.9614"
Inland NE,"-98.2232,40.5953"
Brady NE,"-100.3674,41.0223"
Bee NE,"-97.0583,41.0064"
Garrison NE,"-97.1633,41.1754"
Venango NE,"-102.0441,40.7637"
Bazile Mills NE,"-97.9083,42.5124"
Bartley NE,"-100.3104,40.2511"
North Bend NE,"-96.7831,41.4648"
Julian NE,"-95.8674,40.5198"
Preston NE,"-95.5182,40.0346"
Hershey NE,"-100.9984,41.1602"
Nehawka NE,"-95.9901,40.8295"
Hallam NE,"-96.7866,40.5376"
Thayer NE,"-97.4967,40.9703"
Allen NE,"-96.8431,42.4144"
Fairbury NE,"-97.1764,40.1449"
Niobrara NE,"-98.0313,42.7499"
Elm Creek NE,"-99.3756,40.7201"
Table Rock NE,"-96.0888,40.1783"
Lindy NE,"-97.7499,42.7351"
Bladen NE,"-98.5961,40.3232"
Primrose NE,"-98.2377,41.6238"
Shelby NE,"-97.4265,41.1941"
Lushton NE,"-97.7237,40.7240"
Martinsburg NE,"-96.8314,42.5082"
Parks NE,"-101.7251,40.0437"
Phillips NE,"-98.2145,40.8976"
Clearwater NE,"-98.1897,42.1707"
Ericson NE,"-98.6785,41.7803"
Belvidere NE,"-97.5578,40.2545"
Juniata NE,"-98.5069,40.5903"
Grand Island NE,"-98.3584,40.9214"
Norman NE,"-98.7922,40.4791"
Brownlee NE,"-100.6241,42.2893"
Tekamah NE,"-96.2248,41.7779"
Wauneta NE,"-101.3766,40.4165"
Wahoo NE,"-96.6171,41.2166"
Trumbull NE,"-98.2734,40.6801"
Herman NE,"-96.2167,41.6739"
Staplehurst NE,"-97.1731,40.9747"
Tilden NE,"-97.8320,42.0439"
Sutton NE,"-97.8588,40.6072"
Riverdale NE,"-99.1605,40.7839"
Wilcox NE,"-99.1694,40.3641"
Nemaha NE,"-95.6760,40.3388"
Rogers NE,"-96.9159,41.4643"
Huntley NE,"-99.2905,40.2105"
Cedar Bluffs NE,"-96.6098,41.3971"
Chester NE,"-97.6181,40.0101"
Holstein NE,"-98.6510,40.4652"
Madison NE,"-97.4568,41.8286"
Westerville NE,"-99.3817,41.3962"
Hamlet NE,"-101.2346,40.3845"
Pleasanton NE,"-99.0875,40.9699"
White Clay NE,"-102.5551,42.9968"
Orleans NE,"-99.4551,40.1317"
Duncan NE,"-97.4934,41.3901"
Fullerton NE,"-97.9725,41.3648"
Fontanelle NE,"-96.4272,41.5383"
Wayne NE,"-97.0101,42.2379"
Lorenzo NE,"-103.0821,41.0576"
Yutan NE,"-96.3959,41.2431"
Alda NE,"-98.4679,40.8666"
Bruno NE,"-96.9610,41.2832"
Dodge NE,"-96.8804,41.7218"
North Loup NE,"-98.7726,41.4955"
Hay Springs NE,"-102.6896,42.6834"
St. Helena NE,"-97.2488,42.8106"
Culbertson NE,"-100.8351,40.2284"
Hooper NE,"-96.5485,41.6117"
Crab Orchard NE,"-96.4225,40.3346"
Emmet NE,"-98.8093,42.4757"
Cedar Creek NE,"-96.1016,41.0451"
Stapleton NE,"-100.5126,41.4802"
Dakota City NE,"-96.4202,42.4184"
Lexington NE,"-99.7462,40.7780"
Osceola NE,"-97.5498,41.1782"
Prosser NE,"-98.5777,40.6877"
Brownville NE,"-95.6611,40.3977"
Inavale NE,"-98.6484,40.0923"
Prague NE,"-96.8081,41.3095"
Byron NE,"-97.7686,40.0048"
Coleridge NE,"-97.2029,42.5065"
Chambers NE,"-98.7486,42.2047"
Springview NE,"-99.7475,42.8249"
Battle Creek NE,"-97.5994,41.9981"
Brewster NE,"-99.8652,41.9383"
Plymouth NE,"-96.9886,40.3024"
Unadilla NE,"-96.2699,40.6826"
Bayard NE,"-103.3230,41.7572"
Aten NE,"-97.4409,42.8368"
Lamar NE,"-101.9793,40.5725"
Brainard NE,"-97.0022,41.1818"
Boys Town NE,"-96.1336,41.2560"
O'Neill NE,"-98.6465,42.4610"
Tobias NE,"-97.3367,40.4185"
York NE,"-97.5943,40.8698"
Harvard NE,"-98.0961,40.6201"
Butte NE,"-98.8479,42.9125"
Ames NE,"-96.6262,41.4491"
Swanton NE,"-97.0798,40.3794"
Winside NE,"-97.1752,42.1774"
Bristow NE,"-98.5835,42.8409"
Edgar NE,"-97.9710,40.3683"
Cowles NE,"-98.4491,40.1714"
Stratton NE,"-101.2280,40.1503"
Offutt AFB NE,"-95.9210,41.1207"
Endicott NE,"-97.0954,40.0814"
Seneca NE,"-100.8320,42.0440"
Stockville NE,"-100.3845,40.5335"
Malcolm NE,"-96.8657,40.9090"
Paxton NE,"-101.3521,41.1235"
Eddyville NE,"-99.6241,41.0121"
Colon NE,"-96.6070,41.2981"
Marquette NE,"-98.0098,41.0064"
Reynolds NE,"-97.3359,40.0598"
Oakland NE,"-96.4668,41.8355"
Bellwood NE,"-97.2398,41.3419"
Falls City NE,"-95.5990,40.0623"
Lyman NE,"-104.0375,41.9177"
Bertrand NE,"-99.6324,40.5263"
Pleasant Dale NE,"-96.9330,40.7913"
Craig NE,"-96.3624,41.7852"
St. Edward NE,"-97.8611,41.5716"
Morse Bluff NE,"-96.7664,41.4310"
Moorefield NE,"-100.4004,40.6899"
Cornlea NE,"-97.5669,41.6801"
Dorchester NE,"-97.1150,40.6473"
Waterbury NE,"-96.7353,42.4571"
Whitney NE,"-103.2568,42.7838"
Atlanta NE,"-99.4731,40.3684"
Funk NE,"-99.2508,40.4630"
Homer NE,"-96.4912,42.3226"
Pierce NE,"-97.5284,42.1991"
Broken Bow NE,"-99.6401,41.4052"
Pilger NE,"-97.0546,42.0077"
Arnold NE,"-100.1936,41.4232"
Alvo NE,"-96.3867,40.8723"
Omaha NE,"-96.0498,41.2628"
Davenport NE,"-97.8115,40.3123"
Carleton NE,"-97.6816,40.3033"
Kimball NE,"-103.6512,41.2336"
Elgin NE,"-98.0828,41.9831"
Ulysses NE,"-97.2029,41.0722"
Elk Creek NE,"-96.1268,40.2883"
Hendley NE,"-99.9713,40.1312"
Plattsmouth NE,"-95.8940,41.0053"
Lakeview NE,"-97.3775,41.4998"
Monroe NE,"-97.5999,41.4740"
Howard City NE,"-98.7155,41.0752"
Loomis NE,"-99.5077,40.4782"
Hubbard NE,"-96.5915,42.3859"
Tecumseh NE,"-96.1890,40.3718"
Broadwater NE,"-102.8524,41.5979"
Utica NE,"-97.3455,40.8953"
Sterling NE,"-96.3776,40.4612"
Raymond NE,"-96.7816,40.9567"
Linwood NE,"-96.9323,41.4122"
Grafton NE,"-97.7147,40.6298"
Blair NE,"-96.1361,41.5417"
Talmage NE,"-96.0240,40.5316"
Ainsworth NE,"-99.8574,42.5485"
Merna NE,"-99.7610,41.4851"
Beaver City NE,"-99.8276,40.1383"
Bartlett NE,"-98.5527,41.8839"
Center NE,"-97.8761,42.6090"
Harrisburg NE,"-103.7267,41.5505"
South Bend NE,"-96.2474,41.0021"
Bow Valley NE,"-97.2522,42.7154"
Fort Calhoun NE,"-96.0263,41.4563"
Platte Center NE,"-97.4886,41.5374"
Papillion NE,"-96.0679,41.1516"
Pawnee City NE,"-96.1530,40.1106"
Chappell NE,"-102.4699,41.0913"
Spencer NE,"-98.7002,42.8749"
Hordville NE,"-97.8904,41.0794"
Hastings NE,"-98.3914,40.5963"
McLean NE,"-97.4681,42.3861"
Rushville NE,"-102.4666,42.7134"
Crofton NE,"-97.4986,42.7315"
Comstock NE,"-99.2430,41.5572"
South Sioux City NE,"-96.4126,42.4627"
Bloomfield NE,"-97.6477,42.5983"
Bancroft NE,"-96.5733,42.0104"
Shubert NE,"-95.6836,40.2360"
Harrison NE,"-103.8826,42.6879"
Campbell NE,"-98.7316,40.2963"
Laurel NE,"-97.0986,42.4301"
Ithaca NE,"-96.5394,41.1593"
Brule NE,"-101.8885,41.0946"
Gretna NE,"-96.2447,41.1319"
Denton NE,"-96.8460,40.7393"
Deshler NE,"-97.7234,40.1396"
Lodgepole NE,"-102.6389,41.1490"
Royal NE,"-98.1251,42.3329"
Sholes NE,"-97.2946,42.3348"
Clay Center NE,"-98.0550,40.5256"
Wynot NE,"-97.1699,42.7398"
Dixon NE,"-96.9948,42.4153"
Cortland NE,"-96.7063,40.5059"
Minatare NE,"-103.5020,41.8112"
Oakdale NE,"-97.9671,42.0701"
Gering NE,"-103.6649,41.8275"
Fremont NE,"-96.4879,41.4396"
Virginia NE,"-96.4988,40.2459"
Roseland NE,"-98.5586,40.4697"
Newcastle NE,"-96.8740,42.6524"
Arapahoe NE,"-99.8980,40.3049"
Lincoln NE,"-96.6796,40.8088"
Adams NE,"-96.5127,40.4571"
Howells NE,"-97.0043,41.7241"
Rockville NE,"-98.8312,41.1183"
Arthur NE,"-101.6923,41.5718"
Pender NE,"-96.7114,42.1106"
Plainview NE,"-97.7871,42.3534"
Martin NE,"-101.7091,41.2581"
Wann NE,"-96.3632,41.1393"
Kearney NE,"-99.0847,40.7008"
Page NE,"-98.4177,42.4000"
Creighton NE,"-97.9072,42.4649"
Madrid NE,"-101.5278,40.8525"
Lebanon NE,"-100.2761,40.0487"
Tarnov NE,"-97.5025,41.6148"
Blue Hill NE,"-98.4483,40.3330"
Indianola NE,"-100.4198,40.2346"
Gross NE,"-98.5698,42.9461"
Dunbar NE,"-96.0309,40.6687"
