Name,Coords
University Place WA,"-122.5460,47.2148"
Montesano WA,"-123.5858,47.0102"
Rainier WA,"-122.6867,46.8917"
Fords Prairie WA,"-123.0029,46.7461"
Roy WA,"-122.5423,46.9971"
Oso WA,"-121.9237,48.2836"
Marblemount WA,"-121.4346,48.5378"
Elk Plain WA,"-122.3671,47.0448"
Burlington WA,"-122.3298,48.4677"
Bangor Base WA,"-122.7146,47.7227"
Beaux Arts Village WA,"-122.2009,47.5854"
Port Gamble Tribal Community WA,"-122.5571,47.8487"
Olympia WA,"-122.8959,47.0417"
East Wenatchee WA,"-120.2809,47.4172"
Addy WA,"-117.8372,48.3588"
Minnehaha WA,"-122.6204,45.6577"
Bryn Mawr-Skyway WA,"-122.2411,47.4949"
Satsop WA,"-123.4737,47.0223"
Riverbend WA,"-121.7491,47.4651"
Easton WA,"-121.1733,47.2405"
Silverdale WA,"-122.6828,47.6663"
Napavine WA,"-122.9007,46.5844"
Lochsloy WA,"-122.0411,48.0597"
Ellensburg WA,"-120.5470,46.9994"
McKenna WA,"-122.5500,46.9365"
Fairfield WA,"-117.1748,47.3848"
Northwest Stanwood WA,"-122.3501,48.2623"
Mansfield WA,"-119.6380,47.8119"
Duvall WA,"-121.9725,47.7354"
Markham WA,"-123.9814,46.9155"
Waller WA,"-122.3699,47.2035"
Longview WA,"-122.9630,46.1460"
Richland WA,"-119.2937,46.2826"
Rosedale WA,"-122.6368,47.3453"
Vancouver WA,"-122.5970,45.6367"
Bethel WA,"-122.6175,47.4874"
Custer WA,"-122.6397,48.9143"
Lofall WA,"-122.6564,47.8113"
Fairwood WA,"-122.1430,47.4467"
Winlock WA,"-122.9342,46.4907"
Sumner WA,"-122.2338,47.2190"
Cottage Lake WA,"-122.0755,47.7466"
Puget Island WA,"-123.3829,46.1742"
Woods Creek WA,"-121.8982,47.8821"
Washougal WA,"-122.3433,45.5812"
Sisco Heights WA,"-122.1076,48.1188"
Canterwood WA,"-122.6022,47.3766"
Wapato WA,"-120.4215,46.4434"
Lower Elochoman WA,"-123.3698,46.2185"
Lake Goodwin WA,"-122.2804,48.1387"
Banks Lake South WA,"-119.2760,47.6315"
Kent WA,"-122.2128,47.3887"
Bickleton WA,"-120.3081,46.0056"
Ryderwood WA,"-123.0441,46.3750"
Cavalero WA,"-122.0746,47.9845"
La Conner WA,"-122.4945,48.3925"
Martha Lake WA,"-122.2326,47.8480"
George WA,"-119.8598,47.0845"
Snohomish WA,"-122.0970,47.9277"
Eatonville WA,"-122.2698,46.8682"
Carson WA,"-121.8219,45.7353"
Almira WA,"-118.9369,47.7105"
Nooksack WA,"-122.3211,48.9276"
Mount Vista WA,"-122.6315,45.7373"
High Bridge WA,"-122.0281,47.7968"
Lakeland South WA,"-122.2831,47.2784"
Kenmore WA,"-122.2459,47.7532"
Neah Bay WA,"-124.6115,48.3612"
Cliffdell WA,"-121.0420,46.9213"
Port Angeles East WA,"-123.3695,48.1041"
Burien WA,"-122.3393,47.4762"
Taholah WA,"-124.2728,47.3283"
Wauna WA,"-122.6694,47.3860"
Connell WA,"-118.8405,46.6624"
Disautel WA,"-119.2299,48.3450"
Santiago WA,"-124.2327,47.2975"
Orting WA,"-122.2111,47.0966"
Colville WA,"-117.8986,48.5454"
Marysville WA,"-122.1558,48.0810"
Walla Walla WA,"-118.3365,46.0669"
Zillah WA,"-120.2717,46.4083"
Curlew WA,"-118.6045,48.8777"
Key Center WA,"-122.7505,47.3376"
Hoodsport WA,"-123.1542,47.4020"
Spanaway WA,"-122.4233,47.0979"
Mattawa WA,"-119.9019,46.7364"
Clallam Bay WA,"-124.2579,48.2536"
Prairie Ridge WA,"-122.1408,47.1443"
Rockport WA,"-121.6065,48.4854"
Stansberry Lake WA,"-122.7154,47.3814"
Copalis Beach WA,"-124.1722,47.1205"
Frederickson WA,"-122.3594,47.0914"
Asotin WA,"-117.0433,46.3371"
Mill Creek WA,"-122.2034,47.8633"
Bell Hill WA,"-123.0870,48.0550"
Green Bluff WA,"-117.2770,47.8190"
Clayton WA,"-117.5612,48.0013"
Puyallup WA,"-122.2902,47.1794"
Hockinson WA,"-122.4833,45.7301"
Lake McMurray WA,"-122.2317,48.3129"
Bucoda WA,"-122.8680,46.7968"
Issaquah WA,"-122.0444,47.5420"
Odessa WA,"-118.6895,47.3326"
Hazel Dell WA,"-122.6553,45.6797"
McMillin WA,"-122.2374,47.1286"
Wilbur WA,"-118.7110,47.7583"
Skamokawa Valley WA,"-123.4243,46.3004"
Centerville WA,"-120.9081,45.7540"
Nile WA,"-120.9455,46.8368"
Spokane Valley WA,"-117.2346,47.6625"
Woodland WA,"-122.7503,45.9149"
Lewisville WA,"-122.5144,45.8127"
Vantage WA,"-119.9923,46.9453"
Gorst WA,"-122.7057,47.5237"
Lake Morton-Berrydale WA,"-122.1030,47.3325"
Ione WA,"-117.4223,48.7402"
Bothell West WA,"-122.2400,47.8056"
Vaughn WA,"-122.7773,47.3550"
Black Diamond WA,"-122.0181,47.3130"
Ferndale WA,"-122.5893,48.8525"
Acme WA,"-122.2293,48.7146"
White Center WA,"-122.3480,47.5086"
Fairchild AFB WA,"-117.6485,47.6187"
Pacific WA,"-122.2507,47.2611"
Glenwood WA,"-121.2926,46.0228"
Colfax WA,"-117.3394,46.9032"
Silvana WA,"-122.2459,48.2018"
Forks WA,"-124.3904,47.9526"
Kirkland WA,"-122.2041,47.6997"
Okanogan WA,"-119.5784,48.3671"
Kayak Point WA,"-122.3342,48.1387"
Union Hill-Novelty Hill WA,"-122.0284,47.6788"
Outlook WA,"-120.0923,46.3311"
Lake Tapps WA,"-122.1696,47.2305"
Cohassett Beach WA,"-124.1054,46.8656"
Tonasket WA,"-119.4412,48.7077"
Sunnyside WA,"-120.0058,46.3159"
Lakeview WA,"-119.5043,47.3755"
Carbonado WA,"-122.0536,47.0805"
Pullman WA,"-117.1669,46.7340"
Blyn WA,"-122.9897,48.0130"
Brinnon WA,"-122.9249,47.6689"
Friday Harbor WA,"-123.0655,48.5324"
Orchards WA,"-122.5305,45.6888"
Purdy WA,"-122.6114,47.3938"
Tekoa WA,"-117.0732,47.2247"
Tanner WA,"-121.6921,47.4813"
Thorp WA,"-120.6709,47.0656"
Artondale WA,"-122.6390,47.3024"
Liberty Lake WA,"-117.1032,47.6687"
Cheney WA,"-117.5789,47.4901"
Sammamish WA,"-122.0419,47.6019"
Cle Elum WA,"-120.9553,47.1946"
Fern Prairie WA,"-122.3963,45.6370"
Waverly WA,"-117.2312,47.3380"
Lakewood WA,"-122.5299,47.1628"
Lake Marcel-Stillwater WA,"-121.9152,47.6926"
Central Park WA,"-123.7018,46.9705"
Bridgeport WA,"-119.6737,48.0063"
Raft Island WA,"-122.6686,47.3293"
Larch Way WA,"-122.2527,47.8429"
Lake Bosworth WA,"-121.9812,48.0532"
Barberton WA,"-122.6114,45.7136"
Sekiu WA,"-124.3012,48.2637"
Brier WA,"-122.2734,47.7922"
Spokane WA,"-117.4330,47.6671"
Fall City WA,"-121.9134,47.5717"
Pasco WA,"-119.1303,46.2506"
Lyman WA,"-122.0634,48.5230"
Oakville WA,"-123.2333,46.8403"
Dash Point WA,"-122.4153,47.3131"
Herron Island WA,"-122.8348,47.2645"
West Clarkston-Highland WA,"-117.0630,46.4023"
Royal City WA,"-119.6142,46.9000"
Venersborg WA,"-122.4721,45.7860"
Hoquiam WA,"-123.9023,46.9863"
Willapa WA,"-123.6648,46.6755"
Quilcene WA,"-122.9058,47.8369"
Freeland WA,"-122.5358,48.0185"
McCleary WA,"-123.2723,47.0584"
Roosevelt WA,"-120.2161,45.7476"
Long Beach WA,"-124.0556,46.3559"
Trout Lake WA,"-121.5291,45.9976"
Coulee Dam WA,"-118.9761,47.9688"
Swede Heaven WA,"-121.7136,48.2829"
Pine Grove WA,"-118.6834,48.6502"
Langley WA,"-122.4084,48.0337"
Sedro-Woolley WA,"-122.2321,48.5113"
Hatton WA,"-118.8277,46.7735"
Entiat WA,"-120.2175,47.6780"
Bainbridge Island WA,"-122.5434,47.6439"
Auburn WA,"-122.2110,47.3041"
Ocean City WA,"-124.1620,47.0763"
White Swan WA,"-120.7382,46.3769"
Felida WA,"-122.7103,45.7138"
Lacey WA,"-122.7934,47.0458"
Gold Bar WA,"-121.6927,47.8566"
Clyde Hill WA,"-122.2180,47.6303"
Upper Elochoman WA,"-123.3247,46.2403"
Marcus WA,"-118.0601,48.6642"
Canyon Creek WA,"-121.9831,48.1157"
Malone WA,"-123.3035,46.9779"
Bothell East WA,"-122.1844,47.8064"
Yarrow Point WA,"-122.2179,47.6452"
Steptoe WA,"-117.3502,47.0075"
West Richland WA,"-119.3997,46.3115"
Orient WA,"-118.2059,48.8637"
Federal Way WA,"-122.3359,47.3090"
Pe Ell WA,"-123.2982,46.5712"
Deep River WA,"-123.6984,46.3521"
Bothell WA,"-122.2044,47.7736"
South Wenatchee WA,"-120.2829,47.3886"
